internal_filename,source,third_party,attribution_required,notes
se_dice_roll.wav,procedurally generated for this project,no,no,"synthetic noise and decaying impacts"
se_dice_land.wav,procedurally generated for this project,no,no,"synthetic thud and click"
se_piece_step.wav,procedurally generated for this project,no,no,"synthetic woodblock-like click"
se_castle_build.wav,procedurally generated for this project,no,no,"three synthetic hammer strikes"
se_omikuji.wav,procedurally generated for this project,no,no,"synthetic shaker and bell"
se_kanji_get.wav,procedurally generated for this project,no,no,"ascending synthetic chimes"
se_kanji_steal.wav,procedurally generated for this project,no,no,"synthetic noise swoosh"
se_idiom_complete.wav,procedurally generated for this project,no,no,"synthetic taiko-like hits"
se_skill_activate.wav,procedurally generated for this project,no,no,"synthetic bell and sparkle"
se_player_eliminated.wav,procedurally generated for this project,no,no,"synthetic low gong"
se_victory.wav,procedurally generated for this project,no,no,"synthetic pentatonic fanfare and drum hits"
