和名,学名,ファイル名,作者,ライセンス,Wikimedia Commons出典
スズムシ,Meloimorpha japonica,suzumushi.jpg,Kyu3a,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Meloimorpha_japonica_on_the_floor_-_1.jpg
マツムシ,Xenogryllus marmoratus,matsumushi.jpg,Zinogre (zinogre),CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Xenogryllus_marmoratus_from_iNaturalist_photo_315220649.jpg
エンマコオロギ,Teleogryllus emma,enma_koorogi.jpg,harum.koh,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Teleogryllus_emma_(エンマコオロギ)_(15377584189).jpg
カネタタキ,Ornebius kanetataki,kanetataki.jpg,Kyu3a,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Ornebius_kanetataki_on_white_wall_-_1.jpg
カンタン,Oecanthus longicauda,kantan.jpg,"Kim, Hyun-tae (pintail)",CC BY 4.0,https://commons.wikimedia.org/wiki/File:Oecanthus_longicauda_from_iNaturalist_photo_2794402.jpg
アオマツムシ,Truljalia hibinonis,aomatsumushi.jpg,Kyu3a,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Truljalia_hibinonis_on_the_door_of_convenience_store.jpg
クツワムシ,Mecopoda niponensis,kutsuwamushi.jpg,Norio Nomura (norio_nomura),CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Mecopoda_nipponensis.jpg
ウマオイ,Hexacentrus japonicus,umaoi.jpg,Gaurav Dhwaj Khadka,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Hexacentrus_japonicus.jpg
ニシキリギリス,Gampsocleis buergeri,nishi_kirigirisu.jpg,Mmsmr,CC0 1.0,https://commons.wikimedia.org/wiki/File:ニシキリギリス_Gampsocleis_buergeri_奄美大島龍郷町.jpg
ツユムシ,Phaneroptera falcata,tsuyumushi.jpg,AfroBrazilian,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Phaneroptera_falcata_01.jpg
